Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
3,0,23,2,8,2,4,5600.0,52,38,15,9,25,10,15,0,3.51,0
3,2,51,1,3,2,5,9000.0,47,30,17,1,100,3,25,1,2.93,0
5,2,26,5,2,1,5,7500.0,40,25,10,8,75,3,14,0,3.67,0
7,0,30,3,9,1,4,4900.0,54,20,18,14,75,4,32,1,1.88,0
3,1,43,3,5,1,2,4200.0,51,10,6,2,100,17,87,1,1.79,1
0,1,47,2,1,0,4,5600.0,39,37,22,0,100,7,63,1,3.48,0
5,1,59,6,8,1,3,7150.0,38,8,25,3,0,10,8,1,3.29,0
8,1,42,0,7,1,3,7800.0,45,29,8,8,0,5,90,1,1.12,1
4,0,58,3,7,1,4,4900.0,40,33,12,11,50,11,79,0,1.77,0
0,1,25,2,2,0,1,4400.0,43,20,12,5,0,13,19,0,3.68,0
7,2,48,3,0,0,3,4550.0,42,2,12,5,100,15,5,2,3.76,0
8,0,42,6,8,0,5,8250.0,60,1,10,14,75,9,59,0,1.31,0
6,2,52,1,1,0,2,7200.0,31,28,22,12,25,7,2,1,1.44,1
3,2,27,1,3,2,1,6600.0,41,36,26,7,25,10,29,2,3.54,0
8,2,57,3,0,0,3,4550.0,57,25,7,4,25,10,41,0,4.68,1
5,1,25,5,5,1,5,7500.0,47,31,25,4,100,10,98,0,3.81,0
0,1,25,2,6,1,2,4800.0,57,46,12,4,25,12,5,2,1.06,0
2,1,38,5,2,1,5,7500.0,47,25,15,1,25,5,44,2,2.37,0
0,1,34,6,7,1,1,6050.0,38,12,8,13,75,1,16,1,2.73,0
4,2,55,5,7,1,2,6000.0,34,30,7,7,100,9,97,0,1.59,0
3,1,55,4,1,1,1,4950.0,31,22,20,13,0,5,20,2,1.93,0
6,2,34,1,0,0,4,8400.0,57,12,21,2,100,16,85,0,4.94,1
0,1,39,2,5,1,3,5200.0,50,0,12,1,25,11,84,1,1.96,0
2,1,29,4,7,3,1,4950.0,56,5,15,5,50,16,89,2,1.89,0
4,2,33,1,6,0,1,6600.0,34,32,17,6,100,11,10,1,1.92,0
3,1,58,0,0,1,5,9000.0,38,19,21,2,0,9,12,0,4.87,0
2,2,40,3,0,0,2,4200.0,30,22,12,0,0,19,14,1,2.47,0
0,1,59,4,6,0,2,5400.0,48,33,28,9,50,11,55,0,2.19,0
7,2,24,1,8,1,5,9000.0,35,39,1,0,0,11,77,2,3.12,0
3,2,39,6,9,1,4,7700.0,36,22,11,5,50,7,97,1,4.69,0
8,1,25,3,4,1,5,5250.0,31,44,24,3,75,1,49,0,1.98,0
6,1,46,0,7,1,5,9000.0,32,16,17,6,50,15,51,2,2.96,0
6,1,56,3,8,2,5,5250.0,44,15,28,7,100,5,35,1,3.03,0
7,2,52,3,2,2,1,3850.0,48,11,14,6,75,12,66,0,3.24,0
5,2,30,5,6,1,4,7000.0,40,19,11,7,100,7,88,2,3.86,0
2,2,37,1,0,1,3,7800.0,58,35,14,7,100,17,3,2,1.1,0
6,1,34,2,5,0,1,4400.0,53,39,23,10,0,15,68,0,4.61,0
3,2,34,1,2,2,4,8400.0,44,41,15,9,75,18,67,1,4.02,0
0,1,49,4,0,1,5,6750.0,48,31,3,6,50,18,34,0,3.87,0
